Laufzeiten für CG, PCG mit SSOR und PCG mit IC

n	epsilon	It-CG	Zeit	SSOR		IC
50	0.0001	128	0.007	25	0.002	29	0.006
50	1e-06	146	0.006	32	0.002	35	0.006
100	0.0001	251	0.032	35	0.01	51	0.023
100	1e-06	289	0.03	45	0.012	62	0.028
150	0.0001	373	0.09	43	0.027	74	0.076
150	1e-06	431	0.103	55	0.033	89	0.093
200	0.0001	494	0.215	49	0.054	98	0.181
200	1e-06	573	0.246	64	0.071	115	0.211
250	0.0001	615	0.424	55	0.098	121	0.356
250	1e-06	714	0.485	71	0.126	139	0.409
300	0.0001	735	0.759	60	0.16	140	0.609
300	1e-06	856	0.871	78	0.209	165	0.719
350	0.0001	854	1.283	65	0.248	158	0.954
350	1e-06	997	1.498	84	0.319	191	1.152
400	0.0001	974	2.026	69	0.354	176	1.408
400	1e-06	1138	2.392	90	0.461	217	1.737
450	0.0001	1094	3	74	0.487	196	2.002
450	1e-06	1278	3.545	95	0.624	244	2.49
500	0.0001	1212	4.242	78	0.637	216	2.734
500	1e-06	1419	4.971	101	0.824	270	3.414
