Laufzeiten für das SOR-Verfahren mit n = 50, eps = 1e-4 und verschiedenen omega

omega	Iter	Zeit
0.01	143483	4.109
0.02	89593	2.559
0.03	66533	1.94
0.04	53429	1.526
0.05	44873	1.284
0.06	38801	1.108
0.07	34245	0.98
0.08	30688	0.883
0.09	27825	0.796
0.1	25466	0.727
0.11	23485	0.67
0.12	21796	0.625
0.13	20337	0.583
0.14	19062	0.544
0.15	17938	0.513
0.16	16938	0.483
0.17	16043	0.458
0.18	15237	0.435
0.19	14505	0.417
0.2	13839	0.396
0.21	13229	0.378
0.22	12669	0.361
0.23	12152	0.347
0.24	11673	0.334
0.25	11229	0.322
0.26	10815	0.309
0.27	10428	0.298
0.28	10066	0.288
0.29	9726	0.278
0.3	9407	0.269
0.31	9106	0.26
0.32	8821	0.254
0.33	8552	0.245
0.34	8297	0.237
0.35	8056	0.23
0.36	7826	0.223
0.37	7607	0.217
0.38	7398	0.212
0.39	7199	0.206
0.4	7009	0.2
0.41	6827	0.195
0.42	6653	0.193
0.43	6486	0.186
0.44	6326	0.18
0.45	6172	0.177
0.46	6024	0.172
0.47	5882	0.168
0.48	5745	0.164
0.49	5613	0.16
0.5	5486	0.157
0.51	5363	0.153
0.52	5244	0.15
0.53	5130	0.146
0.54	5019	0.144
0.55	4911	0.14
0.56	4807	0.137
0.57	4707	0.135
0.58	4609	0.132
0.59	4514	0.129
0.6	4423	0.126
0.61	4333	0.125
0.62	4247	0.121
0.63	4163	0.119
0.64	4081	0.117
0.65	4001	0.114
0.66	3923	0.112
0.67	3848	0.11
0.68	3774	0.108
0.69	3703	0.106
0.7	3633	0.103
0.71	3565	0.105
0.72	3498	0.1
0.73	3433	0.098
0.74	3370	0.096
0.75	3308	0.095
0.76	3248	0.093
0.77	3189	0.091
0.78	3131	0.09
0.79	3075	0.088
0.8	3020	0.086
0.81	2966	0.084
0.82	2913	0.084
0.83	2861	0.081
0.84	2810	0.081
0.85	2761	0.078
0.86	2712	0.078
0.87	2665	0.076
0.88	2618	0.075
0.89	2572	0.073
0.9	2527	0.072
0.91	2483	0.071
0.92	2440	0.07
0.93	2398	0.068
0.94	2356	0.068
0.95	2315	0.066
0.96	2275	0.065
0.97	2236	0.064
0.98	2197	0.062
0.99	2159	0.062
1	2121	0.061
1.01	2085	0.059
1.02	2048	0.059
1.03	2013	0.057
1.04	1978	0.057
1.05	1944	0.055
1.06	1910	0.055
1.07	1876	0.053
1.08	1844	0.053
1.09	1811	0.052
1.1	1780	0.05
1.11	1748	0.05
1.12	1717	0.049
1.13	1687	0.048
1.14	1657	0.047
1.15	1628	0.046
1.16	1599	0.046
1.17	1570	0.045
1.18	1542	0.044
1.19	1514	0.043
1.2	1486	0.043
1.21	1459	0.041
1.22	1433	0.041
1.23	1406	0.04
1.24	1380	0.04
1.25	1355	0.038
1.26	1329	0.038
1.27	1304	0.038
1.28	1280	0.036
1.29	1255	0.036
1.3	1231	0.035
1.31	1207	0.035
1.32	1184	0.033
1.33	1161	0.034
1.34	1138	0.032
1.35	1115	0.032
1.36	1093	0.031
1.37	1071	0.031
1.38	1049	0.03
1.39	1027	0.029
1.4	1006	0.029
1.41	985	0.028
1.42	964	0.027
1.43	943	0.027
1.44	923	0.027
1.45	902	0.026
1.46	882	0.025
1.47	863	0.024
1.48	843	0.024
1.49	823	0.024
1.5	804	0.023
1.51	785	0.022
1.52	766	0.022
1.53	747	0.022
1.54	729	0.02
1.55	711	0.021
1.56	692	0.019
1.57	674	0.02
1.58	656	0.019
1.59	639	0.018
1.6	621	0.018
1.61	604	0.017
1.62	586	0.017
1.63	569	0.016
1.64	552	0.016
1.65	535	0.015
1.66	518	0.015
1.67	501	0.015
1.68	485	0.013
1.69	468	0.014
1.7	452	0.013
1.71	435	0.012
1.72	419	0.012
1.73	403	0.012
1.74	387	0.011
1.75	371	0.01
1.76	355	0.011
1.77	339	0.009
1.78	322	0.01
1.79	306	0.009
1.8	290	0.008
1.81	274	0.008
1.82	258	0.007
1.83	241	0.007
1.84	224	0.006
1.85	207	0.006
1.86	189	0.006
1.87	169	0.004
1.88	146	0.005
1.89	132	0.003
1.9	145	0.005
1.91	173	0.005
1.92	205	0.005
1.93	206	0.006
1.94	227	0.007
1.95	307	0.009
1.96	343	0.009
1.97	462	0.014
1.98	715	0.02
1.99	1363	0.039
